variablename,short description,years,longer description,sources
poptotal,Population total,"1900–2008;
2012–2017",Total population per state,"U.S. Census Bureau (http://www.census.gov/)
Originally provided by Stateminder: A data visualization project from Georgetown University. http://stateminder.org/ (no longer accessible online)
For 2012–2017: U.S. Census Bureau, American Fact Finder: https://www.census.gov/acs/www/data/data-tables-and-tools/american- factfinder/"
popdensity,Population density,1975–1999,Number of people per square mile of land area; population in 1000s divided by land area in square miles (excludes water),"http://www.ipsr.ku.edu/SPPQ/datasets.shtml (data from The Statistical Abstract of the United States, U.S. Census Bureau).  No data were available for the District of Columbia.
Originally provided by Stateminder: A data visualization project from Georgetown University. http://stateminder.org/ (no longer accessible online)"
popfemale,Female population,1994–2010,The number of residents who are female. Data for 2001 are unavailable.,"CQ Press. 'State Stats: Population under 5 years old.' http://library.cqpress.com/cqresearcher/index.php
Originally provided by Stateminder: A data visualization project from Georgetown University. http://stateminder.org/ (no longer accessible online)"
pctpopfemale,Female population (percentage),2012–2017,Percentage of the state’s population that is female,"U.S. Census Bureau, American Fact Finder: https://www.census.gov/acs/www/data/data-tables-and-tools/american- factfinder/"
popmale,Male population,1994–2010,The number of residents who are male. Data for 2001 are unavailable.,"CQ Press. 'State Stats: Population under 5 years old.' http://library.cqpress.com/cqresearcher/index.php
Originally provided by Stateminder: A data visualization project from Georgetown University. http://stateminder.org/ (no longer accessible online)"
pctpopmale,Male population (percentage),2012–2017,Percentage of the state’s population that is male,"U.S. Census Bureau, American Fact Finder: https://www.census.gov/acs/www/data/data-tables-and-tools/american- factfinder/"
popunder5,Population under 5 years old,1994–2010,The number of residents under the age of five in a state. Data for 2001 are unavailable.,"CQ Press. 'State Stats: Population under 5 years old.' http://library.cqpress.com/cqresearcher/index.php
Originally provided by Stateminder: A data visualization project from Georgetown University. http://stateminder.org/ (no longer accessible online)"
pctpopunder14,Population under 14 years old (percentage),2013–2017,Percentage of the state’s population aged 14 years or younger,"U.S. Census Bureau, American Fact Finder: https://www.census.gov/acs/www/data/data-tables-and-tools/american- factfinder/"
pop5to17,Population from 5 years old to 17 years old,1994–2010,The number of residents between the ages of 5 and 17 in a state. Data for 2001 are unavailable.,"CQ Press. 'State Stats: Population under 5 years old.' http://library.cqpress.com/cqresearcher/index.php
Originally provided by Stateminder: A data visualization project from Georgetown University. http://stateminder.org/ (no longer accessible online)"
pop18to24,Population from 18 years old to 24 years old,1994–2010,The number of residents between the ages of 18 and 24 in a state. Data for 2001 are unavailable.,"CQ Press. 'State Stats: Population under 5 years old.' http://library.cqpress.com/cqresearcher/index.php
Originally provided by Stateminder: A data visualization project from Georgetown University. http://stateminder.org/ (no longer accessible online)"
pctpop15to24,Population between the ages of 15 and 24 (percentage),2013–2017,Percentage of the state’s population between the ages of 15 and 24,"U.S. Census Bureau, American Fact Finder: https://www.census.gov/acs/www/data/data-tables-and-tools/american- factfinder/"
pop25to44,Population from 25 years old to 44 years old,1994–2010,The number of residents between the ages of 25 and 44 in a state. Data for 2001 are unavailable.,"CQ Press. 'State Stats: Population under 5 years old.' http://library.cqpress.com/cqresearcher/index.php
Originally provided by Stateminder: A data visualization project from Georgetown University. http://stateminder.org/ (no longer accessible online)"
pctpop25to44,Population between the ages of 25 and 44 (percentage),2013–2017,Percentage of the state’s population between the ages of 25 and 44,"U.S. Census Bureau, American Fact Finder: https://www.census.gov/acs/www/data/data-tables-and-tools/american- factfinder/"
pop45to64,Population from 45 years old to 64 years old,1994–2010,The number of residents between the ages of 45 and 64 in a state. Data for 2001 are unavailable.,"CQ Press. 'State Stats: Population under 5 years old.' http://library.cqpress.com/cqresearcher/index.php
Originally provided by Stateminder: A data visualization project from Georgetown University. http://stateminder.org/ (no longer accessible online)"
pctpop45to64,Population between the ages of 45 and 64 (percentage),2013–2017,Percentage of the state’s population between the ages of 45 and 64,"U.S. Census Bureau, American Fact Finder: https://www.census.gov/acs/www/data/data-tables-and-tools/american- factfinder/"
popover65,Population from 65 years old and older,1994–2010,The number of residents over the age of 65 in a state. Data for 2001 are unavailable.,"CQ Press. 'State Stats: Population under 5 years old.' http://library.cqpress.com/cqresearcher/index.php
Originally provided by Stateminder: A data visualization project from Georgetown University. http://stateminder.org/ (no longer accessible online)"
pctpopover65,Population over 65 years old (percentage),2013–2017,Percentage of the state’s population over the age of 65,"U.S. Census Bureau, American Fact Finder: https://www.census.gov/acs/www/data/data-tables-and-tools/american- factfinder/"
pctpopover18,Population over 18 years old (percentage),2013–2017,Percentage of the state’s population over the age of 18,"U.S. Census Bureau, American Fact Finder: https://www.census.gov/acs/www/data/data-tables-and-tools/american- factfinder/"
popover85,Population from 85 years old and older,1995–2010,The number of residents over the age of 85 in a state. Data for 2001 are unavailable.,"CQ Press. 'State Stats: Population under 5 years old.' http://library.cqpress.com/cqresearcher/index.php
Originally provided by Stateminder: A data visualization project from Georgetown University. http://stateminder.org/ (no longer accessible online)"
pctlatinx,Latinx population,2013–2017,Percentage of the state’s residents who are Hispanic or Latino (of any race),"U.S. Census Bureau, American Fact Finder: https://www.census.gov/acs/www/data/data-tables-and-tools/american- factfinder/"
pctwhite,White population,2013–2017,Percentage of the state’s residents who are white (not Hispanic or Latino),"U.S. Census Bureau, American Fact Finder: https://www.census.gov/acs/www/data/data-tables-and-tools/american- factfinder/"
pctblack,Black population,2013–2017,Percentage of the state’s residents who are black or African American (alone),"U.S. Census Bureau, American Fact Finder: https://www.census.gov/acs/www/data/data-tables-and-tools/american- factfinder/"
pctasian,Asian population,2013–2017,Percentage of the state’s residents who are Asian (alone),"U.S. Census Bureau, American Fact Finder: https://www.census.gov/acs/www/data/data-tables-and-tools/american- factfinder/"
pctpacific,Pacific Islander population,2013–2017,Percentage of the state’s residents who are native Hawaiian or other Pacific Islander (alone),"U.S. Census Bureau, American Fact Finder: https://www.census.gov/acs/www/data/data-tables-and-tools/american- factfinder/"
pctamericanindian,American Indian population,2013–2017,Percentage of the state’s residents who are American Indian or Alaska Native (alone),"U.S. Census Bureau, American Fact Finder: https://www.census.gov/acs/www/data/data-tables-and-tools/american- factfinder/"
birthrate,Birth rate,1991–2008,"Children per woman (total fertility) with projections; births per 1,000 women aged 15–44","Centers for Disease Control and Prevention. National Center for Health Statistics (VitalStats). https://www.cdc.gov/nchs/data_access/vitalstatsonline.htm
Originally provided by Stateminder: A data visualization project from Georgetown University. http://stateminder.org/ (no longer accessible online)"
evangelical_pop,Evangelical population,1975–2013,Percentage of evangelical residents in a state,"Sellers, Mitchell D. 'Gubernatorial Use of Executive Orders: Unilateral Action and Policy Adoption.' Journal of Public Policy 37.3 (2017): 315–339."
nonwhite,Nonwhite population,1974–2011,Proportion of the state population that is nonwhite,"Kelly, Nathan J., and Christopher Witko. 'Government Ideology and Unemployment in the U.S. States.' State Politics & Policy Quarterly 14.4 (2014): 389–413."
